HospitalName,Speciality,HospitalImage,Location,Description
"Fortis Escorts Heart Institute, Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Escorts-Hospital-360x223.jpg.webp","New Delhi","Fortis Escorts Heart Institute, located in New Delhi, India, is one of the most renowned and well-established cardiac care centres in the country. This best heart hospital has received numerous awards and accolades and recognition for its high-quality services.The hospital boasts a team of highly qualified and some of the best cardiologists, cardiac surgeons, nurses, and support staff who are experts in their respective fields. A large number of the doctors at Fortis Escorts Heart Institute have international training and experience.Fortis Escorts Heart Institute is equipped with state-of-the-art technology and modern facilities, including advanced cardiac catheterization labs, cardiac surgery theaters, and cardiac imaging equipment. It was one of the pioneers in starting Robotic Heart Surgery."
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi","Indraprastha Apollo, New Delhi is a multi-specialty tertiary-care facility and is one of the most sought-after healthcare destinations in Asia. Indraprastha Apollo was the first hospital in India to be accredited by JCI. Spread over 15 acres, Apollo Delhi is one of the most modern and state-of-the-art facilities situated in the posh South Delhi. Considered to be the flagship hospital of Apollo group, Indraprastha Apollo Hospital is one of the important landmarks not only in Delhi but on the world map because of its popularity among medical tourists.Spread over 15 acres, Indraprastha Apollo has a built-up area of over 600,000 square feet. The hospital offers more than 50 specialties under one roof and is very well equipped to handle even the most complicated surgical procedures like Whipple surgery, or even Pancreas transplant surgery or a Lung transplant."
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon","Artemis Health Institute is an initiative by the owners of Apollo Tyres into healthcare. Spread over 9 acres, Artemis is a 300 bedded multi-super specialty tertiary care hospital located at Gurgaon, in the National Capital Region, Delhi. Artemis was the first hospital in Haryana to get NABH accreditation within 3 years of its start-up. The hospital then added another feather in its cap in a few years of its startup- Artemis got the gold standard in healthcare accreditation – JCI, USA accreditation and became the first and only hospital in Gurgaon to be accredited by Joint Commission International (JCI, USA) in 2013.Besides having a robust infrastructure, Artemis hospital offers the most modern techniques for treatment and the most advanced surgical procedures."
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi","BL Kapur Memorial Hospital was one of the biggest standalone private hospitals in Delhi, NCR, now taken over by Max Group of hospitals. Established by late Dr. B L Kapur, an eminent Obstetrician, and Gynecologist on invitation by then Prime Minister of India, Mr. Jawahar Lal Nehru. The institute went on to become one of Delhi's premier multi-specialty hospitals. BLK Max Hospital has consistently ranked among the Top 10 Multi Super Speciality Hospitals in India.Accredited by JCI, USA, the institute has 650 beds with dedicated 125 critical care beds and over 150 specialties making it one of the best hospitals in New Delhi and India. Equipped with the most advanced technology, BLK is well renowned for Bone Marrow Transplants and other highly specialized treatments like Heart transplant."
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon","Fortis Memorial Research Institute (FMRI), the flagship hospital of Fortis Healthcare, is a multi-specialty, quaternary care hospital and is counted among not only the best hospitals in New Delhi, but also one of the best hospitals in India and the world.The hospital is located in Gurgaon or NCR (National Capital Region), on the outskirts of Delhi. Besides being a premium referral healthcare facility, it endeavors to be the 'Mecca of Healthcare' for the Asia Pacific and beyond.The hospital is set on a spacious 11 acres campus, with 1000 beds, is equipped with state-of-the-art technology. FMRI is the first to bring the most advanced technology not only in India or Asia, but few are the first to be introduced in the world."
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai","Gleneagles Global hospital in Mumbai, which is the latest addition to the geographical footprints of the Gleneagles group in India, offers comprehensive cardiac care to its patients.With a track record of nearly 4000 cardiac procedures, the cardiac centre of excellence proudly stands as one of India's premier cardiac centres, specializing in cardiology and cardiovascular thoracic surgeries. Whether it is minimally invasive techniques or the most intricate heart transplant surgeries, the hospital possesses the necessary infrastructure and proficiency to handle them all.Equipped with state-of-the-art surgical suites, post-surgery intensive care units, and advanced diagnostic facilities, the hospital has established itself as a top destination for heart health in Mumbai."
"Fortis Hospital, Bannerghatta Road, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Baneerghatta-Road.jpg.webp","Bangalore","Fortis Hospital Bannerghatta Road is a distinguished healthcare institution renowned for its exceptional medical services. Situated in Bangalore, the southern part of country, this hospital combines advanced medical technology with a team of highly qualified and experienced doctors, nurses, and support staff.Cardiac care at Fortis Hospital Bannerghatta Road is second to none. The cardiac care department is staffed by a team of highly skilled cardiologists, cardiac surgeons, and specialized nurses, all dedicated to providing top-notch heart care services. The hospital is a leader in various cardiac specialties, such as interventional cardiology, cardiac surgery, electrophysiology, and more.Besides JCI accreditation, the hospital is also accredited by Medical Travel Quality Alliance (MTQUA) for its quality of care and services to its patients."
"Fortis Hospital, Noida","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Noida.jpg.webp","Delhi (NCR)","The NABH accredited hospital of Fortis group in Noida was started in 2004 and is the only Fortis Escorts' Heart Command Centre in the entire UP. It is the only corporate facility in the area that offers a full range of services, from diagnostics to organ transplantation (kidney transplant and liver transplant).Cardiac, Neurological, Gastroenterological, and Renal Joint Therapeutic Services are available. The Cardiac Centre of Excellence at Fortis Noida has earned a great reputation because of its exceptional team and the results even in the most complex cardiac cases.Renal Science and Liver Transplant have also risen to become the most important referral centres."
"Asian Heart Institute, Mumbai","Cardiology & Cardiac Surgery","https://www.indicure.com/assets/img/best-hospitals/Mumbai/Asian-Heart-Institute,-Mumbai.jpg.webp","Mumbai","Established in 2002, the Asian Heart Institute (AHI) stands as one of India's premier cardiac care institutions, delivering top-tier cardiovascular healthcare. With over 415,000 patients having received treatment, the hospital has an impressive track record of conducting 26,500 heart surgeries and 50,000 angiograms.AHI is internationally renowned for its exceptional expertise in intricate heart surgeries, boasting an unparalleled success rate of 99.83% in cardiac surgeries, unmatched globally. This makes AHI one of the best heart hospitals in India.The hospital is also involved in research and educational activities related to cardiovascular diseases. It conducts training programs and workshops for healthcare professionals to enhance their knowledge and skills in cardiac care."
"Medanta Medicity, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Medanta-Medicity-360x223.jpg.webp","Gurgaon","Medanta The Medicity is a renowned multi-specialty hospital in Gurgaon, India, known for providing comprehensive cardiac care. Medanta was established by Dr. Naresh Trehan in 2009, a renowned Cardiovascular and Cardiothoracic surgeon, after he returned to India post his long stint in USA.The hospital has received various national and international accreditations, including Joint Commission International from USA, reflecting its commitment to quality and safety standards.The hospital has dedicated cardiac surgery units with advanced operating theatres for a variety of heart surgeries, including coronary artery bypass grafting (CABG), valve repair or replacement, and heart transplant surgery."
