HospitalName,Speciality,HospitalImage,Location
"Indraprastha Apollo Hospital","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Indraprastha-Apollo-Hospital-360x223.jpg.webp","New Delhi"
"HCG Cancer Hospital, Mumbai","Oncology","https://www.indicure.com/assets/img/best-hospitals/Mumbai/HCG-Cancer-Centre,-Mumbai.jpg.webp","Mumbai"
"Gleneagles Global Hospital, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Global-Hospitals-Mumbai.jpg.webp","Mumbai"
"BLK Max Super Speciality Hospital","Multi Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Fortis Hospital, Mulund, Mumbai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Fortis-Hospital-Mulund-Mumbai.jpg.webp","Mumbai"
"Fortis Memorial Research Institute, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/01/Fortis-Memorial-Research-Institute-360x223.jpg.webp","Gurgaon"
"Artemis Hospital, Gurgaon","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Artemis-Health-Institute-360x223.jpg.webp","Gurgaon"
"Max Super Speciality Hospital, Saket, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/BLK-Max-Superspecialty-Hospital.jpg.webp","New Delhi"
"Apollo Hospital, Jubilee Hills, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Apollo-Hospitals-Jubilee-Hills-Hyderabad.jpg.webp","Hyderabad"
"Gleneagles Global Hospital, Kengri, Bangalore","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Gleneagles-Hospital-Bangalore.jpg.webp","Bangalore"
"Krishna Institute of Medical Sciences, Secunderabad, Hyderabad","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/KIMS-Hospital-Kondapur-Hyderabad.jpg.webp","Hyderabad"
"HCG Hospital, Koramangala, Bangalore","Oncology","https://www.indicure.com/assets/img/2022/02/HCG-Hospital-Bangalore-1.jpg.webp","Bangalore"
"MGM Healthcare, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/MGM-Healthcare-Chennai.jpg.webp","Chennai"
"Vijaya Hospital, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/02/Vijaya-Hospitals-Chennai.jpg.webp","Chennai"
"Billroth Hospital, Chennai","Multi-Superspeciality","https://www.indicure.com/assets/img/best-hospitals/Chennai/Billroth-Hospital,-Chennai.jpg.webp","Chennai"
"Venkateshwar Hospital, New Delhi","Multi-Superspeciality","https://www.indicure.com/assets/img/2022/03/Venkateshwar-Hospital-New-Delhi.jpg.webp","New Delhi"
